,nct_id,canonical_aact_interventions,canonical_BioLinkBERT-base_interventions,canonical_aact_conditions,canonical_BioLinkBERT-base_conditions
7613,NCT01445691,5-ala (gliolan),5-aminolevulinic acid|aminolevulinic acid,"gliomas|brain neoplasms, malignant|intracranial neoplasms|primary malignant brain neoplasms|primary malignant brain tumors|brain neoplasms, benign|brain tumor, recurrent|brain neoplasms|neoplasms, intracranial|primary brain neoplasms|brain tumor, primary|benign neoplasms, brain|brain cancer|glioblastoma",brain neoplasms|newly diagnosed or recurrent malignant gliomas|tumor|tumors
3341,NCT00471588,"pramipexole, amisulpride",amisulpride|dopamine d2/d3 receptor agonist and antagonist drug|pramipexole,obsessive-compulsive disorder,addictive and compulsive disorders|compulsive behaviour|ocd|stimulant-dependent
14529,NCT03865953,lat8881,lat8881,diabetic peripheral neuropathy (dpn)|neuropathic pain|neuralgia|post herpetic neuralgia (phn),neuralgia|neuropathic pain
19052,NCT05999604,ocrelizumab injection [ocrevus],anti-cd20|anti-cd20 agents|humanized anti-cd20 monoclonal antibody|ocrelizumab,multiple sclerosis,active ms|multiple sclerosis
3474,NCT00494468,zolpidem,zolpidem,sleep wake disorders|insomnia,sleep disturbances
2448,NCT00307671,"mycophenolate mofetil,methotrexate|cyclophosphamide, azathioprine,prednisone,methylprednisolone|prednisone, methylprednisolone,cyclophosphamides",immunosuppressants|steroids,vasculitis|wegener's granulomatosis|polyarteritis nodosa|churg-strauss syndrome|microscopic polyangiitis,necrotizing vasculitides|systemic necrotizing vasculitides
13974,NCT03635827,,xenon,"stress disorders, post-traumatic|post traumatic stress disorder","stress disorders, post-traumatic"
9640,NCT02043977,propofol injectable emulsion,propofol,sleep wake disorders|insomnia|dyssomnia|dyssomnias,chronic insomnia|insomnia|refractory chronic primary insomnia
18245,NCT05573906,,benzodiazepines,anxiety disorders,anxiety|anxiety disorders|benzodiazepine|benzodiazepines|opioid|opioids|pain|prescription opioids
718,NCT00073411,duloxetine|escitalopram,duloxetine|escitalopram,depression,major depression
9249,NCT01923974,melatonin 100 mg|melatonin 10 mg,melatonin,antihyperalgesia|analgesia,heat injury
8957,NCT01829867,snn0031,snn0031,parkinson disease,parkinson disease
11736,NCT02720263,asp4345,asp4345,schizophrenia,schizophrenia
1444,NCT00177671,venlafaxine|donepezil|duloxetine|escitalopram,donepezil|duloxetine|escitalopram|venlafaxine,depression|dementia,alzheimer disease|depression|depressive|late-life depression
18114,NCT05517603,aj201,aj201,"bulbo-spinal atrophy, x-linked","bulbo-spinal atrophy, x-linked"
13968,NCT03634839,flavoring agents|nicotine,,tobacco use disorder,
11301,NCT02574572,autologous mesenchymal cells transplantation,,spinal cord injuries,cervical chronic and complete spinal cord injury
15897,NCT04480307,temelimab 18 mg/kg|temelimab 54 mg/kg|temelimab 36 mg/kg,rituximab|temelimab,multiple sclerosis,relapsing forms of multiple sclerosis
14634,NCT03907176,htx-011|acetaminophen|ibuprofen,htx-011,analgesia,opioid|unilateral open inguinal herniorrhaphy
18801,NCT05864677,cerebrolysin,cerebrolisin|cerebrolysin,neurocognitive disorders|cardiac disease|brain damage|surgery-complications|critical illness,"brain injuries, traumatic|cardiac surgery|cerebral ischaemia|cerebral ischemia|critically ill|delirium|dementia|elective surgery|emergence delirium|ischemia|or emergency surgery|postoperative neuropsychological dysfunction"
2439,NCT00306033,intravenous immuneglobulin,ivig,myasthenia gravis,myasthenia gravis
17182,NCT05074498,tb006,tb006,alzheimer disease,mild to severe alzheimer's disease
19561,NCT06271096,intra muscular midazolam|intravascular diazepam,diazepam|im-midazolam|midazolam,seizures,acute seizure|acute seizures
8952,NCT01828294,subcutaneous immunoglobulins,ig|intravenous immunoglobulin|prednisone,myasthenia gravis,myasthenia gravis|receptor
5416,NCT00887367,gsk598809|,ethanol|gsk598809,substance-related disorders,
12566,NCT03040713,flortaucipir f18,,frontotemporal dementia,frontotemporal dementia
14261,NCT03769896,nabilone 0.25 mg,dronabinol|nabilone,parkinson disease,parkinson disease|parkinson´s disease
10700,NCT02393339,acetaminophen|paracetamol,acetaminophen|paracetamol,"pain, postoperative|analgesia",dental|dental treatment|pain|postoperative pain
11525,NCT02643914,nicotine,,tobacco use disorder|cigarette smoking,addiction|nicotine
3106,NCT00426816,sb-649868,sb-649868,sleep initiation and maintenance disorders,primary insomnia
14767,NCT03963336,acetazolamide|lmwh,anticoagulant|anticoagulation,idiopathic intracranial hypertension|pseudotumor cerebri,idiopathic intracranial hypertension|intracranial hypertension|intracranial pressure|occlusive sinus thrombosis|pseudotumor cerebri
6087,NCT01039909,srt2104,srt2104,healthy volunteer|muscular atrophy,immobilization-induced skeletal muscle atrophy
3589,NCT00517153,miglustat,miglustat,"niemann-pick disease, type c","niemann-pick disease, type c"
5083,NCT00813826,slc022,slc022,"neuralgia, postherpetic",pain|post herpetic neuralgia|post-herpetic neuralgia
13769,NCT03553875,memantine hydrochloride,memantine|memantine hydrochloride,autism|autism spectrum disorder|nonverbal learning disability,disorders of impaired social interactions|high-functioning autism spectrum disorder|non-verbal learning disorder|social deficits|social impairment
15030,NCT04076982,mung bean protein,,muscle weakness,vegans|vegetarian and vegan|vegetarians
15867,NCT04464148,pregnenolone 250 mg|pregnenolone 400 mg,neuroster|pregnenolone,"stress disorders, post-traumatic|post traumatic stress disorder|alcohol use disorder","alcohol use disorder|anxiety|depression|stress|stress disorders, post-traumatic"
10305,NCT02261519,naben®,daao inhibitor|naben,schizophrenia,schizophrenia
2519,NCT00318760,clonidine,clonidine,cocaine-related disorders|heroin abuse,cocaine|cocaine or|craving|drug|heroin|heroin users|opioid withdrawal|stress
4296,NCT00649792,fampridine-sr,dalfampridine,multiple sclerosis,ms|multiple sclerosis
828,NCT00090116,neramexane,neramexane,alzheimer disease,alzheimer disease|loss|moderate to severe dementia of the alzheimer's type
5888,NCT00991757,carisbamate,rwj 333369|rwj-333369,"epilepsies, partial|complex partial seizures|epilepsy|epilepsy, complex partial",partial onset seizures
15659,NCT04360044,cbd ~12%|thc ~5% and cbd ~12%|sham cannabis|thc ~5%,cannabidiol|dronabinol,cbd|migraine disorders|migraine|cannabis|thc,migraine|migraine disorders
4417,NCT00670449,fingolimod,fingolimod|fty720,multiple sclerosis,relapsing multiple sclerosis
2085,NCT00250939,alglucosidase alfa,alglucosidase alfa|rhgaa,glycogen storage disease type ii|glycogen storage disease type ii (gsd-ii)|pompe disease (late-onset),glycogen storage disease type ii|late-onset pompe disease
14628,NCT03905928,,nicotine,tobacco use disorder,
3035,NCT00412620,abt-925,abt-925,schizophrenia,acute exacerbation of schizophrenia|psychotic disorders|schizoaffective disorder
8776,NCT01771627,nicotine patch|varenicline,nicotine|varenicline,tobacco use disorder,current|smokers|smoking
16589,NCT04789174,solriamfetol,solriamfetol,"excessive daytime sleepiness|impaired cognitive function|sleep apnea, obstructive","apnea|excessive daytime sleepiness|impaired cognitive function|sleep apnea, obstructive"
10903,NCT02456454,valproic acid|risperidone,risperidone|valproate|valproic acid,bipolar disorder,"bipolar disorder|bipolar i or ii disorder|mixed, manic or hypomanic episode"
